First_Name,Last_Name,Birthdate,Gender,Driver_License,Addresses
Maria,Kuznetsov,2020-01-03,Male,True,"[['Nizhniy Novgorod', 'Moskovskaya', 195, 32]]"
Aleksandr,Vasiliev,2007-06-16,Female,False,"[['Omsk', 'Pobedy', 107, 59], ['Ekaterinburg', 'Zhukova', 70, 154], ['Omsk', 'Moskovskaya', 20, 474]]"
Elena,Morozov,2018-04-27,Male,True,"[['Chelyabinsk', 'Zhukova', 154, 437]]"
Aleksandr,Fedorov,2006-01-08,Female,True,"[['Rostov-na-Donu', 'Kirova', 136, 483]]"
Nikita,Morozov,1979-10-12,Female,False,"[['Nizhniy Novgorod', 'Pushkina', 143, 347], ['Ekaterinburg', 'Zhukova', 155, 282]]"
Tatiana,Stepanov,2023-06-10,Female,False,"[['Chelyabinsk', 'Kirova', 87, 400], ['Rostov-na-Donu', 'Moskovskaya', 29, 356], ['Omsk', 'Gagarina', 90, 100]]"
Aleksey,Vasiliev,1994-08-14,Male,False,"[['Kazan', 'Sovetskaya', 96, 466]]"
Elena,Nikolaev,2019-03-28,Male,False,"[['Samara', 'Moskovskaya', 196, 359], ['Chelyabinsk', 'Pushkina', 162, 236]]"
Artem,Volkov,2010-07-26,Male,True,"[['Rostov-na-Donu', 'Gagarina', 71, 86]]"
Artem,Novikov,1996-03-10,Male,True,"[['Chelyabinsk', 'Kirova', 161, 83], ['Moskva', 'Sovetskaya', 31, 489]]"
Sofia,Kozlov,2011-02-05,Female,False,"[['Chelyabinsk', 'Sovetskaya', 155, 428]]"
Irina,Popov,1988-04-21,Male,True,"[['Rostov-na-Donu', 'Gagarina', 108, 188], ['Samara', 'Kirova', 64, 80]]"
Natalia,Volkov,1984-10-10,Female,True,"[['Chelyabinsk', 'Moskovskaya', 99, 100], ['Moskva', 'Pushkina', 89, 227]]"
Elena,Petrov,1966-02-22,Female,False,"[['Sankt-Peterburg', 'Moskovskaya', 116, 287], ['Kazan', 'Mira', 176, 482]]"
Andrey,Petrov,2003-06-18,Female,True,"[['Nizhniy Novgorod', 'Kirova', 93, 149], ['Chelyabinsk', 'Moskovskaya', 169, 37]]"
Irina,Novikov,2017-06-03,Female,True,"[['Moskva', 'Krasnaya', 56, 183], ['Novosibirsk', 'Krasnaya', 2, 339], ['Omsk', 'Pushkina', 29, 70]]"
Vera,Novikov,1986-04-21,Male,False,"[['Kazan', 'Lenina', 15, 386], ['Novosibirsk', 'Gagarina', 188, 329], ['Kazan', 'Pobedy', 47, 466]]"
Vera,Vasiliev,1975-04-16,Female,True,"[['Samara', 'Krasnaya', 132, 197], ['Omsk', 'Sovetskaya', 198, 116]]"
Natalia,Novikov,1999-05-10,Female,False,"[['Sankt-Peterburg', 'Zhukova', 119, 1]]"
Sofia,Kuznetsov,2006-05-17,Female,True,"[['Chelyabinsk', 'Kirova', 171, 275], ['Samara', 'Zhukova', 103, 210], ['Ekaterinburg', 'Mira', 92, 88]]"
Elena,Semenov,1932-06-15,Male,False,"[['Sankt-Peterburg', 'Pobedy', 108, 74]]"
Sergey,Volkov,2021-04-07,Female,True,"[['Omsk', 'Mira', 127, 395]]"
Andrey,Smirnov,1956-06-13,Male,False,"[['Rostov-na-Donu', 'Sovetskaya', 158, 156]]"
Dmitriy,Kozlov,2002-05-25,Female,True,"[['Kazan', 'Lenina', 189, 367]]"
Aleksey,Volkov,2007-10-17,Female,True,"[['Novosibirsk', 'Sovetskaya', 165, 201]]"
Vera,Pavlov,1917-09-27,Female,True,"[['Omsk', 'Krasnaya', 189, 191], ['Rostov-na-Donu', 'Pobedy', 95, 369]]"
Olga,Nikolaev,1944-03-31,Female,False,"[['Moskva', 'Sovetskaya', 110, 281]]"
Nikita,Semenov,1996-10-19,Female,False,"[['Rostov-na-Donu', 'Mira', 54, 429]]"
Anna,Ivanov,2017-11-06,Male,True,"[['Chelyabinsk', 'Pushkina', 122, 306], ['Kazan', 'Gagarina', 1, 366], ['Omsk', 'Zhukova', 56, 375]]"
Natalia,Alekseev,1925-04-17,Female,True,"[['Moskva', 'Moskovskaya', 65, 228]]"
Tatiana,Morozov,2019-04-27,Female,True,"[['Chelyabinsk', 'Sovetskaya', 44, 351], ['Moskva', 'Pobedy', 39, 96]]"
Sergey,Sokolov,2013-09-18,Male,True,"[['Chelyabinsk', 'Sovetskaya', 11, 212]]"
Dmitriy,Petrov,1957-02-07,Female,False,"[['Rostov-na-Donu', 'Sovetskaya', 60, 147]]"
Mikhail,Stepanov,2015-06-02,Female,False,"[['Nizhniy Novgorod', 'Kirova', 153, 172]]"
Tatiana,Sokolov,1995-07-16,Male,False,"[['Moskva', 'Sovetskaya', 187, 460]]"
Tatiana,Popov,1991-11-15,Male,False,"[['Rostov-na-Donu', 'Pobedy', 5, 472]]"
Aleksey,Ivanov,1988-03-16,Male,False,"[['Sankt-Peterburg', 'Moskovskaya', 10, 66]]"
Andrey,Pavlov,2004-12-07,Male,True,"[['Kazan', 'Lenina', 30, 25]]"
Tatiana,Volkov,1941-08-10,Male,False,"[['Moskva', 'Kirova', 12, 310], ['Moskva', 'Lenina', 150, 442]]"
Aleksey,Petrov,2024-05-20,Male,True,"[['Samara', 'Moskovskaya', 183, 167]]"
Dmitriy,Novikov,2017-02-28,Female,False,"[['Chelyabinsk', 'Pobedy', 20, 377]]"
Sofia,Popov,2021-07-08,Male,False,"[['Samara', 'Mira', 23, 301], ['Chelyabinsk', 'Pobedy', 66, 28]]"
Ekaterina,Pavlov,2010-03-18,Male,False,"[['Nizhniy Novgorod', 'Gagarina', 118, 377], ['Chelyabinsk', 'Gagarina', 7, 396], ['Novosibirsk', 'Zhukova', 181, 215]]"
Maria,Lebedev,2019-06-05,Female,False,"[['Samara', 'Gagarina', 118, 325]]"
Elena,Novikov,2003-02-06,Female,True,"[['Chelyabinsk', 'Mira', 163, 486], ['Chelyabinsk', 'Mira', 107, 443]]"
Aleksey,Nikolaev,1968-07-09,Male,False,"[['Ekaterinburg', 'Zhukova', 158, 169]]"
Tatiana,Ivanov,2004-10-08,Male,False,"[['Sankt-Peterburg', 'Pushkina', 39, 415]]"
Anna,Pavlov,1981-01-20,Male,False,"[['Sankt-Peterburg', 'Kirova', 33, 312]]"
Maxim,Novikov,2000-04-15,Female,False,"[['Sankt-Peterburg', 'Pushkina', 59, 485]]"
Nikita,Alekseev,2022-02-11,Male,False,"[['Moskva', 'Kirova', 58, 325]]"
Dmitriy,Sokolov,2002-10-07,Female,False,"[['Omsk', 'Pobedy', 28, 61], ['Novosibirsk', 'Pobedy', 73, 59], ['Omsk', 'Sovetskaya', 166, 240]]"
Andrey,Popov,1975-09-04,Male,True,"[['Sankt-Peterburg', 'Krasnaya', 42, 431], ['Novosibirsk', 'Kirova', 178, 25], ['Moskva', 'Sovetskaya', 62, 347]]"
Elena,Vasiliev,1993-12-08,Male,True,"[['Nizhniy Novgorod', 'Mira', 157, 499], ['Rostov-na-Donu', 'Sovetskaya', 187, 431], ['Novosibirsk', 'Lenina', 161, 113]]"
Artem,Fedorov,2019-11-11,Female,True,"[['Sankt-Peterburg', 'Mira', 167, 442], ['Samara', 'Moskovskaya', 102, 480]]"
Dmitriy,Stepanov,2024-02-06,Male,True,"[['Novosibirsk', 'Moskovskaya', 139, 260], ['Omsk', 'Sovetskaya', 138, 451], ['Omsk', 'Sovetskaya', 43, 180]]"
Ivan,Sokolov,1970-10-15,Female,False,"[['Chelyabinsk', 'Mira', 173, 148], ['Chelyabinsk', 'Moskovskaya', 70, 164]]"
Ekaterina,Mikhailov,1976-09-07,Male,True,"[['Omsk', 'Kirova', 17, 374], ['Moskva', 'Mira', 67, 100]]"
Olga,Popov,2024-01-05,Male,True,"[['Sankt-Peterburg', 'Kirova', 199, 167], ['Sankt-Peterburg', 'Mira', 66, 138]]"
Anna,Stepanov,2021-10-03,Male,False,"[['Nizhniy Novgorod', 'Pushkina', 87, 391], ['Sankt-Peterburg', 'Mira', 75, 224], ['Moskva', 'Zhukova', 97, 398]]"
Maria,Lebedev,2006-03-31,Female,True,"[['Ekaterinburg', 'Pobedy', 127, 321], ['Ekaterinburg', 'Mira', 59, 268], ['Samara', 'Kirova', 182, 218]]"
Anna,Egorov,1985-05-14,Male,False,"[['Rostov-na-Donu', 'Moskovskaya', 86, 378]]"
Irina,Stepanov,1982-03-04,Male,True,"[['Omsk', 'Krasnaya', 137, 450]]"
Dmitriy,Nikolaev,1997-01-03,Female,True,"[['Novosibirsk', 'Pobedy', 153, 86], ['Omsk', 'Mira', 37, 203]]"
Vera,Petrov,1980-07-02,Male,False,"[['Sankt-Peterburg', 'Krasnaya', 99, 393], ['Sankt-Peterburg', 'Kirova', 11, 190]]"
Aleksey,Alekseev,2018-02-06,Female,False,"[['Samara', 'Pushkina', 79, 428], ['Omsk', 'Pobedy', 12, 165], ['Omsk', 'Gagarina', 101, 172]]"
Aleksandr,Kozlov,1978-05-29,Female,True,"[['Ekaterinburg', 'Kirova', 6, 391], ['Sankt-Peterburg', 'Lenina', 20, 163], ['Nizhniy Novgorod', 'Moskovskaya', 41, 486]]"
Ekaterina,Smirnov,2022-11-13,Male,False,"[['Rostov-na-Donu', 'Krasnaya', 55, 213]]"
Anna,Ivanov,1998-10-17,Male,True,"[['Omsk', 'Kirova', 46, 258]]"
Artem,Smirnov,2011-07-18,Male,False,"[['Samara', 'Pushkina', 66, 479]]"
Maria,Pavlov,1986-11-21,Female,True,"[['Nizhniy Novgorod', 'Sovetskaya', 169, 260]]"
Vera,Mikhailov,2002-03-02,Female,True,"[['Chelyabinsk', 'Krasnaya', 167, 176], ['Nizhniy Novgorod', 'Kirova', 1, 57], ['Sankt-Peterburg', 'Kirova', 110, 407]]"
Maxim,Sokolov,2021-12-12,Male,False,"[['Moskva', 'Gagarina', 86, 227], ['Novosibirsk', 'Krasnaya', 74, 157], ['Nizhniy Novgorod', 'Kirova', 153, 337]]"
Vera,Morozov,1963-04-03,Male,True,"[['Omsk', 'Pobedy', 182, 220], ['Nizhniy Novgorod', 'Gagarina', 112, 96], ['Rostov-na-Donu', 'Krasnaya', 192, 114]]"
Aleksandr,Ivanov,2012-05-14,Female,False,"[['Rostov-na-Donu', 'Zhukova', 178, 92], ['Chelyabinsk', 'Zhukova', 194, 406], ['Nizhniy Novgorod', 'Gagarina', 127, 270]]"
Ivan,Alekseev,2004-03-13,Male,False,"[['Rostov-na-Donu', 'Pushkina', 15, 457]]"
Elena,Smirnov,1998-10-21,Female,True,"[['Nizhniy Novgorod', 'Kirova', 97, 102], ['Sankt-Peterburg', 'Pushkina', 141, 390]]"
Sofia,Kozlov,2007-03-03,Female,True,"[['Novosibirsk', 'Sovetskaya', 21, 140], ['Nizhniy Novgorod', 'Gagarina', 84, 469]]"
Elena,Stepanov,1989-08-27,Female,False,"[['Moskva', 'Lenina', 67, 358], ['Ekaterinburg', 'Krasnaya', 162, 178]]"
Dmitriy,Kozlov,2013-02-18,Female,True,"[['Novosibirsk', 'Zhukova', 178, 346], ['Sankt-Peterburg', 'Pushkina', 56, 177], ['Moskva', 'Pobedy', 53, 328]]"
Aleksey,Egorov,2021-09-13,Male,True,"[['Chelyabinsk', 'Pobedy', 49, 294], ['Kazan', 'Mira', 174, 96], ['Chelyabinsk', 'Mira', 40, 405]]"
Elena,Popov,1941-12-13,Male,True,"[['Omsk', 'Kirova', 132, 359], ['Omsk', 'Moskovskaya', 77, 456], ['Novosibirsk', 'Kirova', 83, 155]]"
Vera,Popov,1944-08-29,Male,False,"[['Samara', 'Kirova', 80, 279], ['Nizhniy Novgorod', 'Pobedy', 128, 42], ['Samara', 'Moskovskaya', 182, 170]]"
Sergey,Nikolaev,1995-05-06,Female,True,"[['Samara', 'Gagarina', 40, 485], ['Moskva', 'Gagarina', 191, 166], ['Samara', 'Gagarina', 197, 390]]"
Artem,Stepanov,2015-10-03,Male,True,"[['Chelyabinsk', 'Lenina', 155, 355], ['Ekaterinburg', 'Mira', 177, 377]]"
Elena,Petrov,2003-06-21,Male,False,"[['Moskva', 'Moskovskaya', 47, 33], ['Chelyabinsk', 'Sovetskaya', 99, 231]]"
Mikhail,Ivanov,2011-08-03,Male,False,"[['Novosibirsk', 'Mira', 75, 225]]"
Nikita,Petrov,2013-07-18,Male,True,"[['Kazan', 'Kirova', 30, 345], ['Kazan', 'Mira', 38, 112], ['Moskva', 'Pobedy', 95, 357]]"
Andrey,Ivanov,1969-06-10,Male,True,"[['Samara', 'Mira', 156, 461], ['Samara', 'Lenina', 130, 290], ['Rostov-na-Donu', 'Lenina', 159, 300]]"
Ekaterina,Sokolov,2003-02-08,Female,True,"[['Chelyabinsk', 'Mira', 164, 209]]"
Artem,Fedorov,1974-01-25,Male,False,"[['Omsk', 'Mira', 40, 85], ['Nizhniy Novgorod', 'Sovetskaya', 111, 403]]"
Aleksandr,Fedorov,2007-04-06,Female,False,"[['Rostov-na-Donu', 'Krasnaya', 158, 403]]"
Olga,Fedorov,1992-10-31,Male,True,"[['Chelyabinsk', 'Lenina', 35, 381], ['Chelyabinsk', 'Pobedy', 192, 500], ['Novosibirsk', 'Kirova', 2, 91]]"
Mikhail,Fedorov,1965-04-04,Female,True,"[['Ekaterinburg', 'Zhukova', 52, 89]]"
Natalia,Vasiliev,2002-09-08,Female,False,"[['Ekaterinburg', 'Pobedy', 150, 97], ['Ekaterinburg', 'Pobedy', 92, 127], ['Omsk', 'Pobedy', 200, 94]]"
Aleksandr,Ivanov,2017-02-14,Male,False,"[['Chelyabinsk', 'Pushkina', 100, 188]]"
Tatiana,Kozlov,2008-01-18,Male,False,"[['Samara', 'Mira', 94, 110]]"
Maxim,Lebedev,2023-06-27,Male,False,"[['Novosibirsk', 'Lenina', 94, 290], ['Kazan', 'Pushkina', 14, 225], ['Ekaterinburg', 'Lenina', 31, 334]]"
Dmitriy,Nikolaev,1962-04-28,Female,True,"[['Omsk', 'Krasnaya', 38, 37], ['Novosibirsk', 'Mira', 134, 395], ['Nizhniy Novgorod', 'Mira', 189, 438]]"
Aleksey,Popov,2017-10-08,Male,False,"[['Sankt-Peterburg', 'Pobedy', 172, 201]]"
Ekaterina,Semenov,2020-02-16,Male,False,"[['Novosibirsk', 'Zhukova', 26, 189], ['Kazan', 'Moskovskaya', 63, 480], ['Moskva', 'Moskovskaya', 2, 121]]"
Sofia,Fedorov,1917-07-07,Male,False,"[['Kazan', 'Pobedy', 107, 464], ['Kazan', 'Pobedy', 38, 333]]"
Ivan,Pavlov,1966-11-02,Male,False,"[['Sankt-Peterburg', 'Zhukova', 91, 298]]"
Irina,Sokolov,1859-01-10,Male,False,"[['Omsk', 'Kirova', 29, 4], ['Novosibirsk', 'Sovetskaya', 20, 286], ['Moskva', 'Moskovskaya', 59, 139]]"
Mikhail,Morozov,1992-01-10,Female,False,"[['Kazan', 'Sovetskaya', 16, 138]]"
Andrey,Popov,1964-02-04,Female,True,"[['Sankt-Peterburg', 'Kirova', 114, 119], ['Rostov-na-Donu', 'Kirova', 171, 33], ['Nizhniy Novgorod', 'Moskovskaya', 23, 229]]"
Mikhail,Novikov,1917-12-26,Male,False,"[['Omsk', 'Krasnaya', 77, 231], ['Moskva', 'Krasnaya', 140, 339], ['Rostov-na-Donu', 'Pobedy', 199, 90]]"
Sergey,Morozov,2011-11-14,Female,False,"[['Moskva', 'Kirova', 94, 445]]"
Nikita,Sokolov,1958-06-24,Female,True,"[['Sankt-Peterburg', 'Krasnaya', 197, 221], ['Samara', 'Lenina', 29, 85]]"
Ekaterina,Morozov,1989-05-09,Female,False,"[['Rostov-na-Donu', 'Zhukova', 68, 54]]"
Sofia,Fedorov,2001-02-10,Female,False,"[['Kazan', 'Pobedy', 11, 434], ['Kazan', 'Gagarina', 159, 338]]"
Elena,Sokolov,2009-12-03,Female,True,"[['Omsk', 'Moskovskaya', 23, 266], ['Novosibirsk', 'Sovetskaya', 156, 351]]"
Sofia,Fedorov,1985-07-05,Female,False,"[['Nizhniy Novgorod', 'Moskovskaya', 3, 237]]"
Anna,Volkov,2006-11-06,Male,False,"[['Moskva', 'Moskovskaya', 190, 319]]"
Anna,Popov,2022-04-23,Male,False,"[['Chelyabinsk', 'Sovetskaya', 182, 332], ['Omsk', 'Mira', 167, 274], ['Omsk', 'Kirova', 61, 336]]"
Mikhail,Pavlov,2011-07-03,Female,False,"[['Nizhniy Novgorod', 'Mira', 123, 242], ['Novosibirsk', 'Pobedy', 72, 440], ['Omsk', 'Pushkina', 181, 457]]"
Olga,Popov,1870-05-19,Female,False,"[['Omsk', 'Gagarina', 189, 219], ['Moskva', 'Pushkina', 20, 3]]"
Aleksandr,Nikolaev,1996-02-18,Female,False,"[['Kazan', 'Sovetskaya', 74, 228], ['Samara', 'Zhukova', 142, 396], ['Novosibirsk', 'Moskovskaya', 133, 275]]"
Sergey,Alekseev,2015-05-27,Female,True,"[['Moskva', 'Mira', 93, 76], ['Novosibirsk', 'Moskovskaya', 120, 55]]"
Nikita,Petrov,1976-12-29,Female,True,"[['Moskva', 'Sovetskaya', 92, 134], ['Samara', 'Krasnaya', 38, 347], ['Novosibirsk', 'Pobedy', 32, 362]]"
Maria,Volkov,2012-09-14,Female,False,"[['Ekaterinburg', 'Pushkina', 154, 231]]"
Artem,Nikolaev,1973-07-15,Female,True,"[['Novosibirsk', 'Pushkina', 61, 232], ['Sankt-Peterburg', 'Lenina', 140, 349], ['Rostov-na-Donu', 'Zhukova', 164, 225]]"
Dmitriy,Popov,1906-10-06,Female,False,"[['Rostov-na-Donu', 'Krasnaya', 157, 416], ['Samara', 'Sovetskaya', 109, 196], ['Samara', 'Moskovskaya', 116, 388]]"
Elena,Stepanov,1993-03-22,Male,True,"[['Chelyabinsk', 'Pushkina', 46, 440], ['Chelyabinsk', 'Pobedy', 81, 261]]"
Elena,Popov,1901-11-05,Male,True,"[['Samara', 'Kirova', 148, 416]]"
Sofia,Popov,2021-05-28,Male,True,"[['Chelyabinsk', 'Zhukova', 126, 47]]"
Natalia,Sokolov,2018-03-07,Female,False,"[['Sankt-Peterburg', 'Moskovskaya', 73, 105], ['Omsk', 'Gagarina', 164, 451]]"
Sergey,Semenov,2005-11-17,Female,False,"[['Omsk', 'Pobedy', 176, 72], ['Novosibirsk', 'Gagarina', 39, 365]]"
Sergey,Semenov,1992-03-29,Male,True,"[['Moskva', 'Moskovskaya', 58, 408], ['Chelyabinsk', 'Pobedy', 191, 322], ['Nizhniy Novgorod', 'Zhukova', 11, 194]]"
Artem,Popov,1975-11-29,Male,False,"[['Sankt-Peterburg', 'Lenina', 101, 4]]"
Sergey,Vasiliev,1984-03-05,Male,False,"[['Ekaterinburg', 'Moskovskaya', 63, 39]]"
Tatiana,Fedorov,2009-11-18,Male,False,"[['Rostov-na-Donu', 'Pushkina', 118, 49], ['Ekaterinburg', 'Krasnaya', 155, 432]]"
Mikhail,Lebedev,1860-12-03,Female,True,"[['Samara', 'Mira', 124, 255], ['Rostov-na-Donu', 'Pobedy', 157, 453], ['Sankt-Peterburg', 'Moskovskaya', 64, 61]]"
Dmitriy,Kuznetsov,1987-06-22,Female,True,"[['Nizhniy Novgorod', 'Mira', 37, 27], ['Omsk', 'Moskovskaya', 152, 341]]"
Dmitriy,Volkov,2019-12-12,Male,False,"[['Sankt-Peterburg', 'Kirova', 32, 369]]"
Mikhail,Kozlov,1994-10-16,Male,False,"[['Sankt-Peterburg', 'Moskovskaya', 24, 53]]"
Anna,Petrov,1987-04-16,Male,True,"[['Moskva', 'Gagarina', 176, 265], ['Rostov-na-Donu', 'Sovetskaya', 90, 467]]"
Natalia,Lebedev,1971-11-03,Male,False,"[['Kazan', 'Pushkina', 183, 25], ['Omsk', 'Moskovskaya', 131, 439], ['Samara', 'Gagarina', 175, 193]]"
Maxim,Fedorov,2022-02-21,Male,True,"[['Novosibirsk', 'Krasnaya', 158, 7]]"
Sergey,Petrov,2004-12-03,Male,False,"[['Rostov-na-Donu', 'Lenina', 130, 155], ['Omsk', 'Zhukova', 114, 291]]"
Dmitriy,Kuznetsov,1999-03-10,Female,True,"[['Ekaterinburg', 'Krasnaya', 24, 292], ['Samara', 'Mira', 81, 330], ['Samara', 'Gagarina', 115, 495]]"
Anna,Stepanov,2004-05-17,Female,True,"[['Rostov-na-Donu', 'Mira', 167, 363], ['Samara', 'Gagarina', 154, 157], ['Novosibirsk', 'Mira', 147, 428]]"
Vera,Kozlov,2009-03-18,Male,True,"[['Nizhniy Novgorod', 'Pushkina', 172, 448]]"
Tatiana,Fedorov,2015-01-14,Female,False,"[['Kazan', 'Zhukova', 70, 223], ['Novosibirsk', 'Zhukova', 12, 311]]"
Aleksey,Vasiliev,1931-02-20,Male,False,"[['Nizhniy Novgorod', 'Mira', 143, 228], ['Sankt-Peterburg', 'Mira', 61, 444]]"
Sergey,Fedorov,1999-01-06,Female,True,"[['Omsk', 'Lenina', 162, 215], ['Novosibirsk', 'Mira', 15, 109], ['Moskva', 'Pushkina', 64, 366]]"
Tatiana,Ivanov,1949-09-15,Female,False,"[['Rostov-na-Donu', 'Krasnaya', 32, 246], ['Moskva', 'Moskovskaya', 113, 309], ['Samara', 'Krasnaya', 70, 187]]"
Aleksey,Stepanov,1897-07-15,Female,True,"[['Kazan', 'Gagarina', 76, 491], ['Omsk', 'Mira', 51, 192]]"
Mikhail,Smirnov,1998-03-08,Female,False,"[['Kazan', 'Pushkina', 84, 164]]"
Elena,Nikolaev,1980-04-15,Female,True,"[['Moskva', 'Zhukova', 49, 459], ['Samara', 'Gagarina', 127, 238], ['Moskva', 'Pobedy', 45, 163]]"
Artem,Morozov,2024-07-15,Male,True,"[['Omsk', 'Krasnaya', 128, 420]]"
Natalia,Nikolaev,1952-01-16,Male,True,"[['Moskva', 'Moskovskaya', 35, 453]]"
Nikita,Novikov,1973-10-28,Female,False,"[['Chelyabinsk', 'Pushkina', 142, 105], ['Chelyabinsk', 'Pushkina', 53, 93], ['Kazan', 'Mira', 159, 349]]"
Sofia,Morozov,1975-03-03,Female,True,"[['Moskva', 'Gagarina', 88, 459], ['Chelyabinsk', 'Moskovskaya', 189, 121]]"
Olga,Volkov,1998-06-03,Male,False,"[['Novosibirsk', 'Kirova', 117, 209], ['Nizhniy Novgorod', 'Gagarina', 136, 115]]"
Anna,Vasiliev,1995-12-30,Female,False,"[['Omsk', 'Zhukova', 64, 104], ['Omsk', 'Sovetskaya', 91, 89], ['Omsk', 'Lenina', 115, 278]]"
Aleksandr,Semenov,1987-05-31,Male,True,"[['Kazan', 'Gagarina', 53, 82]]"
Mikhail,Petrov,2003-11-18,Male,False,"[['Kazan', 'Mira', 52, 232]]"
Irina,Volkov,2019-08-22,Female,False,"[['Samara', 'Pobedy', 103, 442], ['Novosibirsk', 'Zhukova', 79, 284]]"
Elena,Ivanov,2022-07-21,Female,True,"[['Nizhniy Novgorod', 'Moskovskaya', 2, 404]]"
Ivan,Morozov,1980-03-15,Male,False,"[['Samara', 'Krasnaya', 108, 70]]"
Nikita,Egorov,1973-01-31,Male,False,"[['Chelyabinsk', 'Kirova', 129, 89], ['Omsk', 'Zhukova', 57, 214], ['Novosibirsk', 'Pobedy', 96, 32]]"
Irina,Lebedev,1966-05-01,Male,True,"[['Novosibirsk', 'Sovetskaya', 190, 22]]"
Natalia,Fedorov,2021-12-14,Female,True,"[['Omsk', 'Sovetskaya', 157, 263]]"
Dmitriy,Alekseev,1988-09-30,Female,False,"[['Novosibirsk', 'Pobedy', 108, 262], ['Kazan', 'Kirova', 155, 130]]"
Natalia,Ivanov,1965-11-18,Male,True,"[['Samara', 'Krasnaya', 71, 427]]"
Tatiana,Sokolov,2010-09-21,Male,True,"[['Moskva', 'Kirova', 104, 87], ['Samara', 'Gagarina', 102, 397], ['Nizhniy Novgorod', 'Lenina', 41, 84]]"
Ekaterina,Sokolov,2018-09-27,Male,True,"[['Sankt-Peterburg', 'Kirova', 77, 125], ['Omsk', 'Gagarina', 178, 220], ['Rostov-na-Donu', 'Mira', 186, 176]]"
Maxim,Lebedev,2019-06-28,Female,False,"[['Novosibirsk', 'Zhukova', 62, 53], ['Omsk', 'Moskovskaya', 28, 450], ['Sankt-Peterburg', 'Gagarina', 125, 164]]"
Sofia,Fedorov,1982-04-21,Female,True,"[['Nizhniy Novgorod', 'Mira', 22, 13], ['Omsk', 'Moskovskaya', 103, 182]]"
Sofia,Volkov,1962-02-26,Male,True,"[['Chelyabinsk', 'Pushkina', 126, 415]]"
Aleksandr,Ivanov,1968-02-22,Female,False,"[['Chelyabinsk', 'Krasnaya', 145, 430]]"
Nikita,Semenov,1971-03-17,Male,True,"[['Rostov-na-Donu', 'Gagarina', 85, 338], ['Sankt-Peterburg', 'Mira', 7, 466], ['Chelyabinsk', 'Krasnaya', 83, 10]]"
